CUST_NO_y,VTG,AGETIER
5779458.2,5 th,21-30 th
5790161.8,5 th,21-30 th
5795956.4,5 th,31-40 th
5755530.2,5 th,21-30 th
5801751.2,5 th,21-30 th
5815094.8,5 th,31-40 th
5844862.8,5 th,21-30 th
5846447.6,5 th,41-50 th
5816038.2,5 th,21-30 th
5879717.0,5 th,21-30 th
5919344.6,5 th,21-30 th
5904675.8,5 th,21-30 th
5911790.4,5 th,41-50 th
5906392.0,5 th,21-30 th
5897688.2,5 th,41-50 th
5899685.0,5 th,21-30 th
5990048.8,5 th,31-40 th
5998112.2,5 th,21-30 th
6017749.8,5 th,41-50 th
6052562.2,5 th,21-30 th
6056584.2,5 th,21-30 th
6023849.4,5 th,21-30 th
6026987.8,5 th,31-40 th
6023024.0,5 th,31-40 th
6081835.8,5 th,21-30 th
6070362.6,5 th,21-30 th
6072506.4,5 th,21-30 th
6106672.6,4 th,21-30 th
6101843.4,4 th,21-30 th
6090953.4,5 th,31-40 th
6171025.2,4 th,21-30 th
6145749.8,4 th,31-40 th
6204996.0,4 th,21-30 th
6240392.8,4 th,21-30 th
6219846.0,4 th,41-50 th
6267097.0,4 th,31-40 th
6264968.4,4 th,21-30 th
6281530.0,4 th,31-40 th
6367277.4,4 th,31-40 th
6378786.0,4 th,31-40 th
6406535.8,4 th,21-30 th
6409511.0,4 th,21-30 th
6420982.4,4 th,21-30 th
6519355.2,4 th,21-30 th
6560615.6,6-10 th,21-30 th
6590919.8,3 th,31-40 th
6598624.2,3 th,21-30 th
6574354.0,3 th,21-30 th
6653473.6,3 th,21-30 th
6659245.6,3 th,21-30 th
6626696.0,3 th,21-30 th
6684718.8,6-10 th,21-30 th
6688597.8,3 th,41-50 th
6749817.4,3 th,21-30 th
6777890.6,3 th,31-40 th
6805716.2,3 th,31-40 th
6808994.6,3 th,21-30 th
6820683.4,3 th,21-30 th
6791017.0,3 th,21-30 th
6898822.0,3 th,21-30 th
6956334.8,3 th,21-30 th
6961492.0,3 th,21-30 th
6955546.0,3 th,21-30 th
7005961.4,2 th,21-30 th
7006507.2,2 th,21-30 th
7027546.4,2 th,21-30 th
7016081.4,2 th,51-65 th
7129129.2,2 th,31-40 th
7135296.2,2 th,51-65 th
7151070.4,2 th,21-30 th
7177125.2,2 th,21-30 th
7190488.6,2 th,31-40 th
7199778.4,2 th,21-30 th
7285691.2,2 th,41-50 th
7280402.4,2 th,21-30 th
7293443.6,2 th,21-30 th
7278370.0,2 th,21-30 th
7341812.6,2 th,21-30 th
7323733.4,2 th,21-30 th
7357074.2,2 th,21-30 th
7359777.6,2 th,21-30 th
7368674.6,2 th,21-30 th
7416551.4,1 th,31-40 th
7416471.8,1 th,21-30 th
7442160.8,1 th,21-30 th
7464540.6,1 th,21-30 th
7479990.2,1 th,21-30 th
7511805.8,1 th,31-40 th
7531351.6,1 th,21-30 th
7557947.0,2 th,21-30 th
7551218.8,1 th,21-30 th
7596891.6,1 th,31-40 th
7568408.8,1 th,21-30 th
7574752.8,1 th,21-30 th
7617677.4,1 th,31-40 th
7646993.2,1 th,41-50 th
7672301.0,1 th,21-30 th
7685743.0,1 th,21-30 th
7688639.8,1 th,31-40 th
7660547.4,1 th,21-30 th
7718888.0,1 th,31-40 th
7735768.4,1 th,21-30 th
7712261.0,1 th,21-30 th
7752606.4,1 th,21-30 th
7773313.2,1 th,21-30 th
7769013.4,1 th,21-30 th
7794535.8,6-10 th,21-30 th
7795216.2,1 th,31-40 th
7840656.4,1 th,21-30 th
3007658.8,16-20 th,31-40 th
2885200.4,16-20 th,31-40 th
2822897.2,16-20 th,41-50 th
2732816.6,16-20 th,31-40 th
2665412.6,16-20 th,41-50 th
2313956.8,16-20 th,21-30 th
2301221.8,16-20 th,31-40 th
1942290.8,16-20 th,21-30 th
1837859.0,> 20 th,41-50 th
1665373.6,16-20 th,31-40 th
1455094.0,16-20 th,51-65 th
1421138.0,16-20 th,51-65 th
1367813.8,> 20 th,31-40 th
1199962.4,> 20 th,41-50 th
1213326.8,> 20 th,51-65 th
993699.8,> 20 th,41-50 th
1006783.2,> 20 th,41-50 th
537013.0,> 20 th,51-65 th
474993.0,> 20 th,41-50 th
156999.0,> 20 th,41-50 th
2879761.4,16-20 th,41-50 th
2757093.4,> 20 th,41-50 th
2661870.2,16-20 th,41-50 th
2545579.8,16-20 th,31-40 th
2414581.6,16-20 th,41-50 th
1991147.4,16-20 th,31-40 th
1881675.8,16-20 th,41-50 th
1709901.4,16-20 th,41-50 th
1369125.2,16-20 th,31-40 th
630436.0,> 20 th,51-65 th
279142.6,> 20 th,41-50 th
91323.2,> 20 th,21-30 th
55885.8,> 20 th,41-50 th
3084282.4,16-20 th,31-40 th
3151394.6,16-20 th,51-65 th
3274855.0,11-15 th,41-50 th
3286141.4,11-15 th,41-50 th
3313018.6,11-15 th,31-40 th
3406596.6,11-15 th,31-40 th
3410827.2,11-15 th,21-30 th
3436457.6,11-15 th,41-50 th
3474404.6,11-15 th,41-50 th
3499163.6,11-15 th,31-40 th
3529958.4,11-15 th,31-40 th
3534676.2,11-15 th,31-40 th
3538753.6,11-15 th,31-40 th
3559955.2,11-15 th,31-40 th
3574631.8,11-15 th,51-65 th
3643420.4,11-15 th,31-40 th
3806729.4,11-15 th,21-30 th
3892641.6,11-15 th,31-40 th
4013116.6,11-15 th,31-40 th
4028515.0,11-15 th,41-50 th
4067094.8,11-15 th,31-40 th
4096926.6,16-20 th,41-50 th
4100966.6,11-15 th,21-30 th
4134581.0,11-15 th,31-40 th
4164026.6,11-15 th,21-30 th
4246901.4,6-10 th,31-40 th
4260665.0,6-10 th,31-40 th
4252369.2,6-10 th,41-50 th
4248186.0,6-10 th,31-40 th
4340363.2,6-10 th,31-40 th
4369508.6,6-10 th,21-30 th
4366329.2,6-10 th,21-30 th
4365572.0,6-10 th,41-50 th
4429009.8,6-10 th,41-50 th
4393808.2,> 20 th,41-50 th
4385927.4,6-10 th,31-40 th
4527281.8,6-10 th,21-30 th
4553749.4,6-10 th,31-40 th
4502933.6,6-10 th,41-50 th
4562861.4,6-10 th,31-40 th
4566643.8,6-10 th,41-50 th
4634550.0,6-10 th,21-30 th
4647259.2,6-10 th,41-50 th
4681681.8,6-10 th,31-40 th
4672976.2,6-10 th,21-30 th
4744349.4,6-10 th,41-50 th
4758353.4,6-10 th,41-50 th
4739402.8,6-10 th,41-50 th
4786332.2,6-10 th,31-40 th
4811495.0,6-10 th,21-30 th
4848099.6,6-10 th,21-30 th
4877078.8,6-10 th,21-30 th
4905906.6,6-10 th,31-40 th
4935379.8,6-10 th,21-30 th
4888938.6,6-10 th,41-50 th
4960249.8,6-10 th,21-30 th
4954609.2,6-10 th,21-30 th
5025585.4,6-10 th,21-30 th
5028687.2,6-10 th,41-50 th
5028731.2,6-10 th,51-65 th
4981035.4,6-10 th,31-40 th
4984991.6,6-10 th,21-30 th
4984362.6,6-10 th,21-30 th
4989031.2,6-10 th,21-30 th
5052674.2,6-10 th,31-40 th
5078916.0,6-10 th,21-30 th
5089202.4,6-10 th,31-40 th
5122623.8,6-10 th,31-40 th
5119586.0,6-10 th,31-40 th
5124771.8,6-10 th,21-30 th
5198399.0,6-10 th,21-30 th
5155639.0,6-10 th,21-30 th
5205030.2,6-10 th,21-30 th
5242937.8,6-10 th,21-30 th
5254678.2,6-10 th,21-30 th
5271936.4,6-10 th,31-40 th
5276686.6,6-10 th,21-30 th
5228371.8,6-10 th,21-30 th
5295388.2,6-10 th,21-30 th
5287174.6,6-10 th,31-40 th
5294558.0,6-10 th,21-30 th
5293020.4,6-10 th,31-40 th
5337132.4,6-10 th,21-30 th
5331380.4,6-10 th,31-40 th
5376987.0,6-10 th,21-30 th
5360771.6,6-10 th,31-40 th
5372346.6,6-10 th,21-30 th
5410786.8,6-10 th,21-30 th
5432240.0,6-10 th,21-30 th
5418177.6,6-10 th,21-30 th
5382679.6,6-10 th,21-30 th
5510822.0,16-20 th,41-50 th
5560989.2,6-10 th,41-50 th
5574560.0,6-10 th,21-30 th
5579953.4,6-10 th,21-30 th
5583891.0,6-10 th,21-30 th
5598520.8,6-10 th,21-30 th
5586325.4,6-10 th,21-30 th
5647648.2,6-10 th,21-30 th
5604527.8,6-10 th,21-30 th
5617748.8,6-10 th,21-30 th
5659101.0,6-10 th,31-40 th
5704604.6,5 th,51-65 th
5780203.0,5 th,31-40 th
5776908.0,5 th,31-40 th
5766801.0,5 th,21-30 th
5750649.4,5 th,21-30 th
5806733.0,5 th,21-30 th
5806585.0,5 th,21-30 th
5800993.6,5 th,21-30 th
5837254.4,5 th,31-40 th
5848713.0,5 th,41-50 th
5829330.4,5 th,21-30 th
5818273.4,5 th,31-40 th
5871827.0,5 th,21-30 th
5879256.2,5 th,21-30 th
5911473.8,5 th,31-40 th
5981844.4,5 th,21-30 th
5979963.0,5 th,31-40 th
5979826.8,5 th,21-30 th
5989967.4,5 th,21-30 th
5960099.2,5 th,21-30 th
6054070.4,5 th,51-65 th
6072208.4,5 th,21-30 th
6123757.2,4 th,31-40 th
6095310.2,4 th,31-40 th
6134575.4,4 th,21-30 th
6172038.4,4 th,31-40 th
6160659.8,4 th,31-40 th
6224224.4,4 th,31-40 th
6246790.8,4 th,21-30 th
6245554.6,4 th,21-30 th
6277698.2,4 th,41-50 th
6317096.2,4 th,31-40 th
6317299.2,4 th,21-30 th
6315511.6,4 th,31-40 th
6348869.4,4 th,21-30 th
6331395.6,4 th,21-30 th
6339628.8,4 th,31-40 th
6484692.2,4 th,21-30 th
6450811.6,4 th,21-30 th
6461655.4,4 th,21-30 th
6459657.8,4 th,21-30 th
6502756.8,4 th,31-40 th
6500358.2,4 th,21-30 th
6522582.0,4 th,21-30 th
6527338.2,4 th,21-30 th
6522308.4,4 th,21-30 th
6541850.8,3 th,21-30 th
6514100.6,4 th,21-30 th
6517111.0,4 th,21-30 th
6560080.8,3 th,21-30 th
6558315.0,3 th,21-30 th
6678890.2,3 th,21-30 th
6713803.6,3 th,21-30 th
6714511.4,3 th,21-30 th
6686369.6,3 th,41-50 th
6726477.0,3 th,21-30 th
6786309.8,3 th,31-40 th
6783959.8,3 th,21-30 th
6790966.4,3 th,31-40 th
6792022.6,3 th,21-30 th
6828788.6,3 th,21-30 th
6862793.0,3 th,21-30 th
6880104.8,3 th,31-40 th
6870606.6,3 th,21-30 th
6847193.4,3 th,21-30 th
6922489.0,3 th,21-30 th
6951882.6,3 th,21-30 th
6961692.0,3 th,21-30 th
7013323.2,2 th,31-40 th
7107021.8,2 th,51-65 th
7108418.6,2 th,21-30 th
7154886.6,2 th,21-30 th
7189096.6,2 th,31-40 th
7198286.4,2 th,21-30 th
7171486.4,2 th,21-30 th
7211166.6,2 th,21-30 th
7230449.4,2 th,21-30 th
7240499.4,2 th,31-40 th
7247286.8,2 th,21-30 th
7247392.6,2 th,21-30 th
7218760.2,2 th,21-30 th
7259556.8,2 th,21-30 th
7340158.6,2 th,21-30 th
7346125.6,2 th,21-30 th
7402296.2,5 th,31-40 th
7379674.2,1 th,21-30 th
7368730.0,2 th,21-30 th
7409886.2,1 th,21-30 th
7441766.4,1 th,41-50 th
7461105.8,1 th,21-30 th
7479830.6,1 th,21-30 th
7469254.0,1 th,21-30 th
7513875.0,1 th,21-30 th
7543026.8,1 th,31-40 th
7554648.6,1 th,21-30 th
7570988.4,1 th,31-40 th
7600472.6,1 th,21-30 th
7632260.4,1 th,31-40 th
7617917.0,1 th,31-40 th
7617567.2,1 th,21-30 th
7652676.0,1 th,21-30 th
7649996.6,1 th,41-50 th
7737664.4,1 th,21-30 th
7742311.0,1 th,31-40 th
7790953.2,1 th,41-50 th
7799576.6,1 th,31-40 th
7839530.0,1 th,21-30 th
7841543.6,1 th,31-40 th
2932991.6,16-20 th,41-50 th
2689699.4,16-20 th,31-40 th
2643099.2,16-20 th,41-50 th
2671440.0,16-20 th,41-50 th
2660915.2,16-20 th,31-40 th
2554971.6,16-20 th,41-50 th
1537158.0,16-20 th,51-65 th
1273471.6,> 20 th,41-50 th
591802.4,> 20 th,41-50 th
273979.2,> 20 th,51-65 th
155220.0,> 20 th,41-50 th
2981229.0,16-20 th,31-40 th
2923197.2,16-20 th,31-40 th
2824351.4,16-20 th,41-50 th
2748205.4,16-20 th,31-40 th
2694929.8,16-20 th,41-50 th
2679721.0,16-20 th,41-50 th
2612077.2,16-20 th,31-40 th
2476641.8,16-20 th,31-40 th
2162298.2,16-20 th,31-40 th
746510.0,> 20 th,51-65 th
153042.6,> 20 th,51-65 th
3054395.8,16-20 th,51-65 th
3053317.6,16-20 th,31-40 th
3130093.4,16-20 th,41-50 th
3122262.2,16-20 th,41-50 th
3190421.0,16-20 th,41-50 th
3270169.0,11-15 th,51-65 th
3291694.2,11-15 th,31-40 th
3285285.4,16-20 th,31-40 th
3298404.4,11-15 th,31-40 th
3296510.6,11-15 th,31-40 th
3324707.6,11-15 th,31-40 th
3319245.8,11-15 th,41-50 th
3329564.4,11-15 th,31-40 th
3366249.4,11-15 th,51-65 th
3386805.0,11-15 th,51-65 th
3423650.8,11-15 th,31-40 th
3471021.2,11-15 th,51-65 th
3491297.2,11-15 th,41-50 th
3531327.0,11-15 th,31-40 th
3562084.4,11-15 th,31-40 th
3613923.8,11-15 th,31-40 th
3627210.8,11-15 th,41-50 th
3668982.0,11-15 th,51-65 th
3699273.4,11-15 th,41-50 th
3742980.0,11-15 th,31-40 th
3788666.0,11-15 th,31-40 th
3866621.2,11-15 th,41-50 th
3875187.8,11-15 th,31-40 th
3905486.4,11-15 th,31-40 th
3948608.6,11-15 th,31-40 th
3933901.8,11-15 th,31-40 th
3940175.4,11-15 th,31-40 th
3989098.6,11-15 th,21-30 th
4026967.2,11-15 th,31-40 th
4037438.2,11-15 th,51-65 th
4096838.6,11-15 th,31-40 th
4107162.6,11-15 th,31-40 th
4136114.2,11-15 th,31-40 th
4152847.8,11-15 th,21-30 th
4210221.4,11-15 th,21-30 th
4239837.0,11-15 th,21-30 th
4242645.4,6-10 th,31-40 th
4250464.4,6-10 th,31-40 th
4332891.0,6-10 th,21-30 th
4271517.8,6-10 th,31-40 th
4452775.2,6-10 th,31-40 th
4453682.8,6-10 th,21-30 th
4402901.0,6-10 th,21-30 th
4536247.8,6-10 th,21-30 th
4539571.2,6-10 th,31-40 th
4563545.6,6-10 th,31-40 th
4568571.4,6-10 th,31-40 th
4615492.8,6-10 th,41-50 th
4626301.2,6-10 th,31-40 th
4647023.8,6-10 th,31-40 th
4602815.0,6-10 th,21-30 th
4601495.0,6-10 th,31-40 th
4684836.0,6-10 th,41-50 th
4723872.2,6-10 th,21-30 th
4740198.0,6-10 th,51-65 th
4696652.8,6-10 th,31-40 th
4779445.8,6-10 th,41-50 th
4814418.8,6-10 th,41-50 th
4850378.2,6-10 th,41-50 th
4875147.6,6-10 th,21-30 th
4868137.4,6-10 th,21-30 th
4868253.0,6-10 th,21-30 th
4870011.6,6-10 th,21-30 th
4914714.8,6-10 th,21-30 th
4924757.4,6-10 th,21-30 th
4947883.2,6-10 th,21-30 th
4938149.2,6-10 th,31-40 th
4889752.0,6-10 th,21-30 th
4883690.0,6-10 th,41-50 th
4884151.2,6-10 th,31-40 th
4886669.4,6-10 th,31-40 th
4960741.6,6-10 th,31-40 th
4955682.6,6-10 th,21-30 th
4970552.0,6-10 th,21-30 th
5042053.4,6-10 th,31-40 th
5050028.8,6-10 th,31-40 th
5118507.4,6-10 th,31-40 th
5171788.4,6-10 th,31-40 th
5174790.6,6-10 th,21-30 th
5195641.2,6-10 th,21-30 th
5191023.0,6-10 th,31-40 th
5196006.6,6-10 th,21-30 th
5144665.4,6-10 th,31-40 th
5211488.2,6-10 th,21-30 th
5209523.2,6-10 th,21-30 th
5247353.0,6-10 th,31-40 th
5262394.4,6-10 th,21-30 th
5234528.0,6-10 th,21-30 th
5299218.4,6-10 th,21-30 th
5337152.8,6-10 th,21-30 th
5326007.8,6-10 th,31-40 th
5304546.2,6-10 th,21-30 th
5306560.6,6-10 th,31-40 th
5408430.0,6-10 th,31-40 th
5401304.0,6-10 th,21-30 th
5416772.4,6-10 th,21-30 th
5423778.6,6-10 th,31-40 th
5451555.2,6-10 th,51-65 th
5502609.0,6-10 th,21-30 th
5467672.6,6-10 th,21-30 th
5512000.0,6-10 th,21-30 th
5554696.4,6-10 th,21-30 th
5562024.4,6-10 th,21-30 th
5553534.0,6-10 th,21-30 th
5571713.6,6-10 th,21-30 th
5590397.8,6-10 th,21-30 th
5633313.2,6-10 th,21-30 th
5644426.6,6-10 th,21-30 th
5610694.0,6-10 th,21-30 th
5657506.2,6-10 th,41-50 th
5710807.8,5 th,31-40 th
5725888.2,5 th,21-30 th
5679971.8,6-10 th,21-30 th
5740573.8,5 th,21-30 th
5768683.8,5 th,21-30 th
5787865.6,5 th,21-30 th
5785795.0,5 th,21-30 th
5748420.0,5 th,21-30 th
5758507.8,5 th,31-40 th
5806823.8,5 th,21-30 th
5800368.0,5 th,21-30 th
5815775.6,5 th,21-30 th
5843037.6,5 th,21-30 th
5867556.2,5 th,21-30 th
5824975.4,5 th,21-30 th
5824286.8,5 th,21-30 th
5929058.8,5 th,21-30 th
5922193.0,5 th,21-30 th
5891150.8,5 th,21-30 th
5941329.0,5 th,21-30 th
5979042.6,5 th,21-30 th
5986857.0,5 th,21-30 th
5963248.8,5 th,21-30 th
6008115.4,5 th,31-40 th
6044406.4,5 th,31-40 th
6101499.6,4 th,21-30 th
6115068.8,4 th,21-30 th
6124101.8,4 th,21-30 th
6119726.2,4 th,21-30 th
6089328.8,5 th,31-40 th
6168063.6,4 th,21-30 th
6174971.6,4 th,21-30 th
6188924.6,4 th,21-30 th
6180908.0,4 th,21-30 th
6196676.0,4 th,31-40 th
6241981.4,4 th,21-30 th
6221337.8,4 th,41-50 th
6254077.2,4 th,21-30 th
6253045.0,4 th,21-30 th
6296921.0,4 th,41-50 th
6276978.6,4 th,21-30 th
6354955.8,4 th,21-30 th
6353191.2,4 th,21-30 th
6372388.4,4 th,21-30 th
6339093.4,4 th,21-30 th
6379390.8,4 th,21-30 th
6404953.8,4 th,21-30 th
6432163.4,4 th,31-40 th
6431664.0,4 th,21-30 th
6395486.8,4 th,21-30 th
6394119.2,4 th,21-30 th
6395136.8,4 th,21-30 th
6404055.0,4 th,21-30 th
6436907.4,4 th,41-50 th
6487692.0,4 th,21-30 th
6503639.4,4 th,21-30 th
6500747.4,4 th,21-30 th
6499517.8,4 th,21-30 th
6535807.8,3 th,21-30 th
6547630.2,3 th,21-30 th
6554166.0,3 th,31-40 th
6578791.6,3 th,31-40 th
6616031.8,3 th,21-30 th
6660840.4,3 th,21-30 th
6657440.4,3 th,31-40 th
6659827.0,3 th,41-50 th
6672988.0,3 th,21-30 th
6679703.8,3 th,21-30 th
6714858.4,3 th,21-30 th
6728519.2,3 th,21-30 th
6725588.2,3 th,41-50 th
6763156.8,3 th,31-40 th
6756998.2,3 th,21-30 th
6745867.2,3 th,21-30 th
6808161.0,3 th,41-50 th
6798339.8,3 th,21-30 th
6837106.4,3 th,21-30 th
6881058.0,3 th,21-30 th
6874629.2,3 th,31-40 th
6924201.0,3 th,31-40 th
6986023.8,2 th,31-40 th
7004064.8,2 th,41-50 th
7024252.6,2 th,21-30 th
7039065.6,2 th,31-40 th
7049608.2,2 th,41-50 th
7085506.0,3 th,21-30 th
7094400.4,2 th,21-30 th
7059993.0,2 th,31-40 th
7136266.0,2 th,21-30 th
7126726.6,2 th,21-30 th
7195049.4,2 th,31-40 th
7202003.4,2 th,21-30 th
7200454.2,2 th,31-40 th
7208010.4,2 th,21-30 th
7207885.0,2 th,21-30 th
7203368.0,2 th,31-40 th
7229108.4,2 th,31-40 th
7228724.8,2 th,21-30 th
7259114.6,2 th,21-30 th
7281777.6,2 th,21-30 th
7301112.6,2 th,21-30 th
7299005.6,2 th,21-30 th
7296221.2,2 th,21-30 th
7309854.0,2 th,21-30 th
7335777.2,2 th,21-30 th
7395989.4,1 th,21-30 th
7447753.4,1 th,21-30 th
7458105.6,1 th,41-50 th
7484001.4,1 th,21-30 th
7482942.0,1 th,21-30 th
7482945.0,1 th,21-30 th
7485563.8,1 th,31-40 th
7560824.4,1 th,21-30 th
7579806.8,1 th,21-30 th
7587334.2,1 th,21-30 th
7605330.8,1 th,31-40 th
7628220.4,1 th,31-40 th
7630189.6,1 th,41-50 th
7708355.6,1 th,21-30 th
7763244.0,1 th,21-30 th
7764794.0,1 th,41-50 th
7803323.6,1 th,21-30 th
7825749.6,1 th,21-30 th
7831695.2,1 th,31-40 th
7838697.0,1 th,31-40 th
7812632.8,1 th,21-30 th
7811696.6,1 th,21-30 th
2651029.6,16-20 th,41-50 th
2444595.0,16-20 th,31-40 th
2103718.8,16-20 th,41-50 th
1945699.8,16-20 th,41-50 th
1940521.6,16-20 th,31-40 th
1878694.6,16-20 th,41-50 th
1545535.4,16-20 th,51-65 th
1427951.0,16-20 th,51-65 th
1387605.6,16-20 th,31-40 th
1362026.4,16-20 th,51-65 th
1189306.8,> 20 th,41-50 th
1000349.6,> 20 th,31-40 th
836893.0,> 20 th,31-40 th
669001.2,> 20 th,41-50 th
434633.2,> 20 th,51-65 th
61857.2,> 20 th,41-50 th
2813947.2,16-20 th,51-65 th
2454988.6,16-20 th,41-50 th
2392786.4,16-20 th,51-65 th
2194176.2,16-20 th,41-50 th
2145899.0,16-20 th,51-65 th
1171748.4,> 20 th,51-65 th
992833.6,> 20 th,41-50 th
845024.4,> 20 th,31-40 th
571516.8,> 20 th,51-65 th
452127.8,> 20 th,51-65 th
464090.8,> 20 th,51-65 th
388673.0,> 20 th,41-50 th
316204.8,> 20 th,51-65 th
3121187.0,16-20 th,41-50 th
3209522.2,16-20 th,41-50 th
3187492.6,16-20 th,31-40 th
3298774.0,11-15 th,41-50 th
3296780.0,11-15 th,41-50 th
3338999.6,11-15 th,41-50 th
3358424.6,11-15 th,31-40 th
3422936.0,11-15 th,41-50 th
3571213.6,11-15 th,31-40 th
3591463.4,11-15 th,31-40 th
3621308.2,11-15 th,41-50 th
3670047.8,11-15 th,41-50 th
3706591.4,11-15 th,31-40 th
3731575.6,11-15 th,41-50 th
3806584.4,11-15 th,31-40 th
3868866.4,11-15 th,21-30 th
3929391.2,11-15 th,41-50 th
3976204.2,11-15 th,31-40 th
3975801.0,11-15 th,31-40 th
4017430.6,11-15 th,41-50 th
4033885.2,16-20 th,31-40 th
4055658.8,11-15 th,31-40 th
4069678.2,11-15 th,21-30 th
4197307.2,11-15 th,31-40 th
4207898.8,11-15 th,41-50 th
4181762.0,11-15 th,31-40 th
4157879.4,11-15 th,21-30 th
4270285.8,6-10 th,21-30 th
4261672.2,6-10 th,21-30 th
4248934.4,6-10 th,31-40 th
4268365.4,6-10 th,21-30 th
4276132.6,6-10 th,31-40 th
4279158.8,6-10 th,21-30 th
4293466.0,6-10 th,21-30 th
4360014.6,6-10 th,21-30 th
4404554.6,6-10 th,41-50 th
4436625.4,6-10 th,31-40 th
4401732.4,6-10 th,41-50 th
4382884.2,6-10 th,31-40 th
4533609.6,6-10 th,31-40 th
4515081.4,6-10 th,31-40 th
4515851.4,6-10 th,51-65 th
4485479.0,6-10 th,31-40 th
4484431.6,6-10 th,21-30 th
4620908.6,6-10 th,21-30 th
4644333.8,6-10 th,21-30 th
4652331.6,6-10 th,31-40 th
4685992.0,6-10 th,31-40 th
4714597.4,6-10 th,21-30 th
4738008.2,6-10 th,21-30 th
4762390.4,6-10 th,31-40 th
4773473.4,6-10 th,41-50 th
4838555.8,6-10 th,21-30 th
4839802.2,6-10 th,31-40 th
4790900.6,6-10 th,21-30 th
4799854.4,6-10 th,21-30 th
4806310.4,6-10 th,21-30 th
4862819.2,6-10 th,21-30 th
4911025.0,6-10 th,31-40 th
4900069.4,6-10 th,31-40 th
5007839.8,6-10 th,21-30 th
5030686.2,6-10 th,31-40 th
4974335.0,6-10 th,31-40 th
4975224.8,6-10 th,21-30 th
4990917.0,6-10 th,31-40 th
4988343.6,6-10 th,21-30 th
5083591.2,6-10 th,31-40 th
5087216.2,6-10 th,21-30 th
5088604.8,6-10 th,41-50 th
5118141.8,6-10 th,21-30 th
5112878.6,6-10 th,31-40 th
5122264.0,6-10 th,41-50 th
5167479.8,6-10 th,21-30 th
5183101.6,6-10 th,31-40 th
5202170.2,6-10 th,21-30 th
5241051.8,6-10 th,31-40 th
5256661.2,6-10 th,21-30 th
5255624.4,6-10 th,31-40 th
5237682.0,6-10 th,21-30 th
5297832.4,6-10 th,41-50 th
5280357.6,6-10 th,21-30 th
5286561.2,6-10 th,21-30 th
5296083.6,6-10 th,31-40 th
5326224.0,6-10 th,21-30 th
5338823.8,6-10 th,21-30 th
5406355.4,6-10 th,21-30 th
5413257.8,6-10 th,21-30 th
5407643.0,6-10 th,31-40 th
5424376.6,6-10 th,31-40 th
5419833.6,6-10 th,41-50 th
5436879.2,6-10 th,21-30 th
5485964.6,6-10 th,21-30 th
5495931.8,6-10 th,21-30 th
5500551.8,6-10 th,21-30 th
5501894.8,6-10 th,31-40 th
5455335.4,6-10 th,21-30 th
5457450.6,6-10 th,31-40 th
5528730.6,6-10 th,31-40 th
5565424.0,6-10 th,21-30 th
5537208.0,6-10 th,21-30 th
5548401.2,6-10 th,31-40 th
5589829.4,6-10 th,21-30 th
5626023.2,6-10 th,21-30 th
5624206.6,6-10 th,21-30 th
5622398.8,6-10 th,21-30 th
5637153.0,6-10 th,21-30 th
5645819.2,6-10 th,21-30 th
5650216.8,6-10 th,21-30 th
5606054.4,6-10 th,41-50 th
5694315.6,5 th,41-50 th
5703376.6,5 th,21-30 th
5720058.2,5 th,21-30 th
5795934.8,5 th,21-30 th
5757421.8,5 th,21-30 th
5757180.8,5 th,21-30 th
5798852.2,5 th,31-40 th
5836376.2,5 th,21-30 th
5856955.4,5 th,21-30 th
5830267.4,5 th,31-40 th
5875170.8,5 th,31-40 th
5913940.0,5 th,21-30 th
5921754.2,5 th,31-40 th
5893764.2,5 th,31-40 th
5942602.2,5 th,21-30 th
5981082.4,5 th,51-65 th
5956565.4,5 th,21-30 th
5966537.2,5 th,21-30 th
5957739.2,5 th,21-30 th
6035573.8,5 th,41-50 th
6050845.6,5 th,21-30 th
6030748.2,5 th,21-30 th
6029178.6,5 th,21-30 th
6081257.4,5 th,21-30 th
6113411.8,4 th,41-50 th
6119707.6,4 th,21-30 th
6118542.0,4 th,41-50 th
6121489.8,4 th,21-30 th
6137414.8,4 th,21-30 th
6185419.2,4 th,31-40 th
6145641.6,4 th,21-30 th
6148435.2,4 th,21-30 th
6158329.0,4 th,21-30 th
6218012.4,4 th,21-30 th
6221042.2,4 th,21-30 th
6263544.8,4 th,41-50 th
6267206.8,4 th,21-30 th
6297703.6,4 th,21-30 th
6286498.8,4 th,21-30 th
6300360.0,4 th,41-50 th
6281880.2,4 th,21-30 th
6268525.4,4 th,31-40 th
6364377.8,4 th,21-30 th
6399397.2,4 th,21-30 th
6397170.0,4 th,21-30 th
6484220.4,4 th,21-30 th
6493676.4,4 th,21-30 th
6548231.6,3 th,21-30 th
6516031.6,4 th,21-30 th
6509441.0,4 th,21-30 th
6586959.0,3 th,21-30 th
6602289.6,3 th,31-40 th
6606013.4,3 th,21-30 th
6574271.2,3 th,31-40 th
6570928.4,3 th,21-30 th
6658743.2,3 th,41-50 th
6677754.6,3 th,21-30 th
6709427.8,3 th,31-40 th
6682253.4,3 th,21-30 th
6776169.8,3 th,31-40 th
6765683.8,3 th,21-30 th
6789564.4,3 th,21-30 th
6815591.6,3 th,21-30 th
6854115.2,3 th,21-30 th
6923292.6,3 th,21-30 th
6949702.0,3 th,21-30 th
6980915.2,2 th,21-30 th
7041641.4,2 th,21-30 th
7042140.2,2 th,41-50 th
