CUST_NO_y,VTG,AGETIER
6448777.2,4 th,41-50 th
6450693.6,4 th,31-40 th
6431399.2,4 th,31-40 th
6425268.8,4 th,21-30 th
6425775.8,4 th,21-30 th
6428762.4,4 th,41-50 th
6503039.4,4 th,21-30 th
6507861.6,4 th,21-30 th
6508680.4,4 th,31-40 th
6503985.8,4 th,21-30 th
6533022.6,4 th,21-30 th
6562863.6,4 th,21-30 th
6550196.4,4 th,21-30 th
6542102.6,4 th,31-40 th
6605146.6,3 th,21-30 th
6641387.4,3 th,21-30 th
6685465.8,3 th,31-40 th
6667701.4,3 th,21-30 th
6704972.6,3 th,21-30 th
6696185.0,3 th,21-30 th
6750621.0,3 th,21-30 th
6804398.8,3 th,21-30 th
6882798.6,3 th,21-30 th
6950258.0,3 th,21-30 th
6942058.6,3 th,51-65 th
6984799.0,3 th,21-30 th
6966238.2,3 th,21-30 th
7008704.6,2 th,21-30 th
7007662.8,2 th,51-65 th
6986556.0,3 th,21-30 th
6994955.8,3 th,21-30 th
6989841.2,3 th,21-30 th
7026255.4,2 th,21-30 th
7114958.0,2 th,21-30 th
7108496.4,2 th,21-30 th
7187998.0,2 th,21-30 th
7196888.8,2 th,21-30 th
7174736.0,2 th,21-30 th
7220022.4,2 th,31-40 th
7254105.0,2 th,21-30 th
7256667.2,2 th,21-30 th
7281500.6,2 th,21-30 th
7307699.4,2 th,21-30 th
7343067.4,2 th,21-30 th
7349437.2,2 th,51-65 th
7338343.6,2 th,21-30 th
7397647.4,2 th,31-40 th
7376931.6,2 th,31-40 th
7449417.8,1 th,31-40 th
7445268.2,1 th,21-30 th
7459179.0,1 th,21-30 th
7489305.8,1 th,51-65 th
7521087.8,1 th,21-30 th
7573958.4,1 th,21-30 th
7609666.2,1 th,21-30 th
7651489.4,1 th,21-30 th
7672634.8,1 th,21-30 th
7669664.4,1 th,31-40 th
7710545.4,1 th,21-30 th
7738492.6,1 th,21-30 th
7759360.4,1 th,21-30 th
7747233.8,1 th,21-30 th
7767272.4,1 th,21-30 th
7764637.8,1 th,21-30 th
7796683.2,1 th,21-30 th
7858316.8,1 th,31-40 th
7839704.4,1 th,21-30 th
3025413.4,16-20 th,31-40 th
2827417.0,16-20 th,51-65 th
2679193.8,16-20 th,51-65 th
2720636.6,16-20 th,41-50 th
2547767.6,16-20 th,41-50 th
2491231.0,16-20 th,41-50 th
2425945.6,16-20 th,51-65 th
1929934.2,16-20 th,51-65 th
1794948.0,16-20 th,41-50 th
1847849.0,16-20 th,51-65 th
1748337.2,16-20 th,51-65 th
1394300.4,16-20 th,21-30 th
1337649.4,> 20 th,31-40 th
1175237.4,> 20 th,41-50 th
1041795.8,> 20 th,51-65 th
906045.2,> 20 th,41-50 th
884159.6,> 20 th,51-65 th
780419.4,> 20 th,51-65 th
622773.8,> 20 th,41-50 th
175023.2,> 20 th,51-65 th
2974675.6,16-20 th,51-65 th
2997424.0,16-20 th,51-65 th
2567427.8,16-20 th,31-40 th
2586700.8,16-20 th,31-40 th
2501387.2,16-20 th,31-40 th
2564034.8,16-20 th,31-40 th
1861666.6,16-20 th,31-40 th
1795780.8,16-20 th,51-65 th
1659290.8,> 20 th,51-65 th
1517159.0,16-20 th,41-50 th
1598429.6,16-20 th,41-50 th
1332767.0,> 20 th,31-40 th
1314561.6,> 20 th,31-40 th
1101761.6,> 20 th,41-50 th
845517.8,> 20 th,51-65 th
3064732.8,16-20 th,41-50 th
3058265.8,16-20 th,31-40 th
3150404.2,16-20 th,31-40 th
3342696.4,11-15 th,31-40 th
3454240.8,11-15 th,31-40 th
3564501.6,11-15 th,31-40 th
3663392.0,11-15 th,51-65 th
3768501.6,11-15 th,31-40 th
3812118.8,11-15 th,31-40 th
3846086.4,11-15 th,21-30 th
3869136.6,11-15 th,21-30 th
3916098.2,11-15 th,21-30 th
4031894.6,11-15 th,31-40 th
4076711.6,11-15 th,41-50 th
4074422.8,11-15 th,31-40 th
4125330.8,11-15 th,41-50 th
4201473.8,11-15 th,31-40 th
4177655.6,11-15 th,41-50 th
4226008.0,11-15 th,31-40 th
4232040.6,11-15 th,41-50 th
4365737.8,6-10 th,31-40 th
4333041.2,6-10 th,31-40 th
4408080.6,6-10 th,21-30 th
4416146.4,6-10 th,31-40 th
4479374.0,6-10 th,21-30 th
4458036.0,6-10 th,21-30 th
4437922.8,6-10 th,21-30 th
4447949.0,6-10 th,41-50 th
4433250.4,6-10 th,21-30 th
4522955.6,6-10 th,21-30 th
4533510.0,6-10 th,31-40 th
4514087.4,6-10 th,31-40 th
4508223.4,6-10 th,51-65 th
4508635.2,6-10 th,31-40 th
4586123.8,6-10 th,31-40 th
4582471.0,6-10 th,21-30 th
4545884.4,6-10 th,31-40 th
4625711.0,6-10 th,31-40 th
4671965.8,6-10 th,31-40 th
4684441.6,6-10 th,31-40 th
4682516.4,6-10 th,21-30 th
4660275.6,6-10 th,41-50 th
4642628.2,6-10 th,41-50 th
4724197.4,6-10 th,31-40 th
4728266.4,6-10 th,41-50 th
4704935.8,6-10 th,21-30 th
4774093.4,6-10 th,31-40 th
4776871.0,6-10 th,51-65 th
4741539.8,6-10 th,31-40 th
4799876.0,6-10 th,31-40 th
4856823.0,6-10 th,21-30 th
4839303.6,6-10 th,31-40 th
4908629.6,6-10 th,21-30 th
4983355.0,6-10 th,21-30 th
4991469.4,6-10 th,21-30 th
5080871.0,6-10 th,21-30 th
5091000.8,6-10 th,21-30 th
5092915.0,6-10 th,51-65 th
5068882.8,6-10 th,31-40 th
5079620.0,6-10 th,21-30 th
5103702.0,6-10 th,41-50 th
5213443.4,6-10 th,21-30 th
5200511.8,6-10 th,41-50 th
5233130.6,6-10 th,21-30 th
5223446.2,6-10 th,21-30 th
5289967.2,6-10 th,21-30 th
5409145.0,6-10 th,31-40 th
5414369.6,6-10 th,21-30 th
5452895.4,6-10 th,51-65 th
5441541.0,6-10 th,21-30 th
5428087.0,6-10 th,21-30 th
5457818.4,6-10 th,51-65 th
5511411.6,6-10 th,31-40 th
5500700.8,6-10 th,21-30 th
5563955.0,6-10 th,31-40 th
5564320.6,6-10 th,31-40 th
5549221.6,6-10 th,21-30 th
5588644.0,6-10 th,41-50 th
5597386.4,6-10 th,41-50 th
5590248.4,6-10 th,31-40 th
5602010.0,6-10 th,21-30 th
5578426.0,6-10 th,21-30 th
5570305.2,6-10 th,21-30 th
5625241.4,6-10 th,21-30 th
5632261.2,6-10 th,31-40 th
5619357.4,6-10 th,21-30 th
5710847.8,6-10 th,31-40 th
5720573.2,5 th,21-30 th
5724700.4,5 th,21-30 th
5717277.2,5 th,31-40 th
5777046.2,5 th,21-30 th
